train\1\Im_B0\1.jpg ['0.2091203220', '12.6991097200', '0.0220812510', '4.4780905300', '0.0014995780', '-2.4168324420', '48.6404901700', '-3.3573481390'] 0.01121538108888889
train\15\Im_B14\9.jpg ['0.2658722240', '12.1302000900', '-0.0030503540', '3.0434862590', '-0.0238883840', '-3.8410801200', '44.7965508600', '-0.9336251610'] 0.02082856488888889
train\15\Im_B14\10.jpg ['0.2657590850', '12.1230518100', '-0.0043415710', '3.0426786300', '-0.0243301770', '-3.8462803590', '44.1908329000', '-0.9219443240'] 0.01777676051111111
train\15\Im_B14\11.jpg ['0.2656030570', '12.1159060800', '-0.0057611200', '3.0422118990', '-0.0246818960', '-3.8523378410', '43.5854688800', '-0.9104793090'] 0.007553215833333333
train\15\Im_B14\12.jpg ['0.2635385340', '12.1087628400', '-0.0083779220', '3.0467603860', '-0.0256810450', '-3.8534873040', '42.9804484900', '-0.8997497250'] -0.0002288853333333333
train\15\Im_B14\13.jpg ['0.2485745120', '12.1016219800', '-0.0081176370', '3.0384900110', '-0.0263467090', '-3.8572246100', '42.3757498800', '-0.8908845750'] -0.005111772333333334
train\15\Im_B14\14.jpg ['0.2048935830', '12.0944835900', '-0.0076648740', '3.0294340520', '-0.0270094960', '-3.8606890180', '41.7713546900', '-0.8848154470'] -0.02723735408888889
train\15\Im_B14\15.jpg ['0.1361973000', '12.0873478700', '-0.0070954560', '3.0201091850', '-0.0276327820', '-3.8639662550', '41.1672475500', '-0.8822927010'] -0.047074082555555556
train\15\Im_B14\16.jpg ['0.0460104840', '12.0802148800', '-0.0064822400', '3.0110013710', '-0.0281815120', '-3.8671453310', '40.5633939200', '-0.8849903360'] -0.05180437934444444
train\15\Im_B14\17.jpg ['-0.0906044570', '12.0730850700', '-0.0058598560', '3.0025861560', '-0.0285974510', '-3.8702491120', '39.9597630400', '-0.8942160530'] -0.0611123827
train\15\Im_B14\18.jpg ['-0.2659852850', '12.0659584600', '-0.0052472960', '2.9952091330', '-0.0288283710', '-3.8733226670', '39.3563522800', '-0.9096890340'] -0.08216983291111112
train\15\Im_B14\19.jpg ['-0.4393608660', '12.0588345400', '-0.0046760350', '2.9890391860', '-0.0288578030', '-3.8764734820', '38.7531625500', '-0.9308737090'] -0.10658426794444444
train\15\Im_B14\20.jpg ['-0.6035347710', '12.0517137400', '-0.0041634280', '2.9841781570', '-0.0286760540', '-3.8797731340', '38.1501718900', '-0.9582003410'] -0.12321660177777777
train\15\Im_B14\21.jpg ['-0.7843956140', '12.0445970300', '-0.0036883400', '2.9807231890', '-0.0285527910', '-3.8787590650', '37.5473419200', '-0.9925777000'] -0.126115816
train\15\Im_B14\22.jpg ['-0.9960885120', '12.0374845500', '-0.0032065720', '2.9787419310', '-0.0279180880', '-3.8814361830', '36.9446476800', '-1.0340398920'] -0.12870984966666665
train\15\Im_B14\23.jpg ['-1.2154772350', '12.0303745000', '-0.0026883180', '2.9782249020', '-0.0269738710', '-3.8842694680', '36.3420988500', '-1.0811342010'] -0.14137483788888888
train\15\Im_B14\24.jpg ['-1.4001819910', '12.0232653200', '-0.0024751720', '2.9834534330', '-0.0257397510', '-3.8872893140', '35.7397186500', '-1.1321118540'] -0.16639963377777778
train\15\Im_B14\25.jpg ['-1.5396249990', '12.0161581200', '-0.0021594750', '2.9872481280', '-0.0242475660', '-3.8904902650', '35.1375030800', '-1.1864306000'] -0.18348973833333335
train\15\Im_B14\26.jpg ['-1.6671252510', '12.0090557300', '-0.0018130180', '2.9922711980', '-0.0225029360', '-3.8937658750', '34.5354049600', '-1.2449420870'] -0.1837949187777778
train\15\Im_B14\27.jpg ['-1.8242381310', '12.0019588200', '-0.0013867330', '2.9985726490', '-0.0204782710', '-3.8969201140', '33.9333796600', '-1.3081355720'] -0.1837949187777778
train\15\Im_B14\28.jpg ['-2.0018053790', '11.9948640900', '-0.0021647080', '3.0118850800', '-0.0181573650', '-3.8997795650', '33.3314297200', '-1.3750075470'] -0.1837949187777778
train\15\Im_B14\29.jpg ['-2.1547099370', '11.9877687700', '0.0000691000', '3.0138097020', '-0.0011870210', '-3.9793078940', '32.7295899300', '-1.4439084740'] -0.1837949187777778
train\15\Im_B14\30.jpg ['-2.2610333340', '11.9806731000', '0.0025329220', '3.0163780310', '0.0015271850', '-3.9785811940', '32.1279056600', '-1.5132865890'] -0.1837949187777778
train\15\Im_B14\31.jpg ['-2.3209863400', '11.9735784000', '0.0051326760', '3.0198757960', '0.0044186370', '-3.9771050860', '31.5264185700', '-1.5820076510'] -0.1837949187777778
train\15\Im_B14\32.jpg ['-2.3455117800', '11.9664858100', '0.0077819840', '3.0245972040', '0.0073626930', '-3.9743514390', '30.9251590800', '-1.6494093880'] -0.1837949187777778
train\15\Im_B14\33.jpg ['-2.3485033130', '11.9593958600', '0.0104098950', '3.0308135060', '0.0102543250', '-3.9698575680', '30.3241449700', '-1.7152105520'] -0.1837949187777778
train\15\Im_B14\34.jpg ['-2.3420015220', '11.9523086300', '0.0129645170', '3.0387436170', '0.0130176400', '-3.9632861840', '29.7233839300', '-1.7793675310'] -0.1837949187777778
train\15\Im_B14\35.jpg ['-2.3340210460', '11.9452239700', '0.0154137020', '3.0485328520', '0.0156095380', '-3.9544569500', '29.1228779200', '-1.8419417720'] -0.1837949187777778
train\15\Im_B14\36.jpg ['-2.3284232750', '11.9381417300', '0.0178902960', '3.0596480090', '0.0180179320', '-3.9433448430', '28.5226272400', '-1.9030093030'] -0.1837949187777778
train\15\Im_B14\37.jpg ['-2.3259876910', '11.9310618200', '0.0205134180', '3.0717112020', '0.0205154220', '-3.9311306030', '27.9226331600', '-1.9626169470'] -0.1837949187777778
train\15\Im_B14\38.jpg ['-2.3258454480', '11.9239842300', '0.0231468310', '3.0853160500', '0.0218144080', '-3.9052445770', '27.3228989300', '-2.0207738000'] -0.1837949187777778
train\15\Im_B14\39.jpg ['-2.3266867380', '11.9169090200', '0.0259798790', '3.1052111020', '0.0245946430', '-3.8899547770', '26.7234296300', '-2.0774614610'] -0.1837949187777778
train\15\Im_B14\40.jpg ['-2.3274821520', '11.9098362600', '0.0284327690', '3.1243585490', '0.0274013840', '-3.8735617720', '26.1242315300', '-2.1326490330'] -0.1837949187777778
train\15\Im_B14\41.jpg ['-2.3277286750', '11.9027659900', '0.0308636380', '3.1447731590', '0.0301640360', '-3.8556852690', '25.5253112600', '-2.1863046670'] -0.1837949187777778
train\15\Im_B14\42.jpg ['-2.3273777970', '11.8956982400', '0.0332523980', '3.1665698280', '0.0328364640', '-3.8360763170', '24.9266754900', '-2.2384010300'] -0.1837949187777778
train\15\Im_B14\43.jpg ['-2.3266316100', '11.8886330100', '0.0355946630', '3.1897954080', '0.0353962930', '-3.8146081400', '24.3283307000', '-2.2889156640'] -0.1837949187777778
train\15\Im_B14\44.jpg ['-2.3257461910', '11.8815702800', '0.0381230860', '3.2134010220', '0.0378405910', '-3.7912502350', '23.7302833500', '-2.3378286060'] -0.1837949187777778
train\15\Im_B14\45.jpg ['-2.3249103140', '11.8745100300', '0.0410306770', '3.2365885800', '0.0405103900', '-3.7675944430', '23.1325400500', '-2.3851194520'] -0.1837949187777778
train\15\Im_B14\46.jpg ['-2.3242072180', '11.8674522600', '0.0441962620', '3.2599933230', '0.0434529970', '-3.7437449730', '22.5351078200', '-2.4307651470'] -0.1837949187777778
train\15\Im_B14\47.jpg ['-2.3236334350', '11.8603969500', '0.0476300160', '3.2836827580', '0.0465572030', '-3.7191024530', '21.9379942200', '-2.4747388600'] -0.1837949187777778
train\15\Im_B14\48.jpg ['-2.3231405140', '11.8533441100', '0.0513229760', '3.3078367070', '0.0498173730', '-3.6935448600', '21.3412073800', '-2.5170097050'] -0.18272678722222221
train\15\Im_B14\49.jpg ['-2.3226735220', '11.8462937400', '0.0552376120', '3.3327825450', '0.0532190740', '-3.6669055940', '20.7447575300', '-2.5575290270'] -0.18074311433333332
train\15\Im_B14\50.jpg ['-2.3215340140', '11.8392456700', '0.0592981380', '3.3590175280', '0.0567371730', '-3.6389754080', '20.1486617800', '-2.5961880600'] -0.17814908066666668
train\15\Im_B14\51.jpg ['-2.3168907980', '11.8321996800', '0.0633835140', '3.3871969620', '0.0603330720', '-3.6095112410', '19.5529452200', '-2.6328199090'] -0.17204547188888888
train\15\Im_B14\52.jpg ['-2.3057062870', '11.8251556900', '0.0673458530', '3.4180250830', '0.0639544070', '-3.5782458540', '18.9576424400', '-2.6671964250'] -0.17097734033333334
train\15\Im_B14\53.jpg ['-2.2844396120', '11.8181132900', '0.0676525800', '3.4729726670', '0.0675488140', '-3.5449526890', '18.3627972800', '-2.6990413810'] -0.16914625777777778
train\15\Im_B14\54.jpg ['-2.2498563550', '11.8110731400', '0.0689854000', '3.5232084500', '0.0710180340', '-3.5093089680', '17.7684333000', '-2.7282765310'] -0.16334782944444445
train\15\Im_B14\55.jpg ['-2.2118264820', '11.8040358700', '0.0705148980', '3.5731604780', '0.0743099000', '-3.4711340960', '17.1745667600', '-2.7548812180'] -0.15907530322222221
train\15\Im_B14\56.jpg ['-2.1736749610', '11.7970008900', '0.0723025810', '3.6225142200', '0.0738961140', '-3.4099163520', '16.5812273700', '-2.7787299230'] -0.14900434877777777
train\15\Im_B14\57.jpg ['-2.1299122340', '11.7899679200', '0.0744172270', '3.6708918400', '0.0756204060', '-3.3599155770', '15.9884541500', '-2.7996431500'] -0.13694972155555554
train\15\Im_B14\58.jpg ['-2.0773113090', '11.7829364600', '0.0769384370', '3.7178670100', '0.0774418240', '-3.3095136550', '15.3963148200', '-2.8172607070'] -0.1204699778888889
train\15\Im_B14\59.jpg ['-2.0043016810', '11.7759060700', '0.0799468150', '3.7629654430', '0.0793558370', '-3.2587801870', '14.8049016800', '-2.8311020300'] -0.09773403524444445
train\15\Im_B14\60.jpg ['-1.9015603510', '11.7688767000', '0.0835405980', '3.8056497110', '0.0813513930', '-3.2078003920', '14.2143338500', '-2.8405685530'] -0.09147783626666668
train\15\Im_B14\61.jpg ['-1.7585806620', '11.7618483100', '0.0877269550', '3.8457097320', '0.0834297090', '-3.1567469150', '13.6247294900', '-2.8451333580'] -0.08400091554444444
train\15\Im_B14\62.jpg ['-1.5764064700', '11.7548231900', '0.0925172360', '3.8831302260', '0.0855373320', '-3.1056280590', '13.0361144300', '-2.8448724290'] -0.061264972911111104
train\15\Im_B14\63.jpg ['-1.3943011790', '11.7478025500', '0.0978230720', '3.9186684700', '0.0877152290', '-3.0545451440', '12.4484813300', '-2.8400061360'] -0.05165178912222222
train\15\Im_B14\64.jpg ['-1.2248667510', '11.7407846500', '0.1033885520', '3.9539622150', '0.0899945660', '-3.0035416480', '11.8618678600', '-2.8304475330'] -0.051041428244444444
train\15\Im_B14\65.jpg ['-1.0488109300', '11.7337694500', '0.1087198160', '3.9915517330', '0.0923842410', '-2.9526722070', '11.2762729000', '-2.8163166640'] -0.04646372167777778
train\15\Im_B14\66.jpg ['-0.8842197020', '11.7267580400', '0.1131730310', '4.0345644920', '0.0948988010', '-2.9018780520', '10.6916388000', '-2.7979814240'] -0.003280689711111111
train\15\Im_B14\67.jpg ['-0.7561015970', '11.7197501400', '0.0951388710', '4.2073770280', '0.0975632930', '-2.8510010910', '10.1079697300', '-2.7754083210'] 0.04875257495555556
train\15\Im_B14\68.jpg ['-0.6388533210', '11.7127436500', '0.0924367030', '4.2944748270', '0.1003671080', '-2.7998874080', '9.5254933400', '-2.7474367640'] 0.08003356984444444
train\15\Im_B14\69.jpg ['-0.4355284070', '11.7057390800', '0.0897551600', '4.3794755080', '0.1032012950', '-2.7485186970', '8.9445352900', '-2.7125605590'] 0.08567940794444444
train\15\Im_B14\70.jpg ['-0.1027442080', '11.6987405800', '0.0871822540', '4.4609368620', '0.1059037040', '-2.6968732310', '8.3652708990', '-2.6700711490'] 0.09910734722222223
train\15\Im_B14\71.jpg ['0.2960052790', '11.6917482800', '0.0848411430', '4.5376388070', '0.1083199490', '-2.6446582910', '7.7876500010', '-2.6201964020'] 0.15083543144444445
train\15\Im_B14\72.jpg ['0.6620108470', '11.6847589300', '0.0829730680', '4.6084451410', '0.1103496770', '-2.5914260390', '7.2116000720', '-2.5630426140'] 0.19752803844444447
train\15\Im_B14\73.jpg ['0.9850235600', '11.6777744800', '0.0818596760', '4.6720651510', '0.1118818100', '-2.5368337530', '6.6372208420', '-2.4978021030'] 0.216754406
train\15\Im_B14\74.jpg ['1.3441772520', '11.6707992100', '0.0817429980', '4.7269375090', '0.1127410770', '-2.4808460930', '6.0646520460', '-2.4234016700'] 0.22835126266666667
train\15\Im_B14\75.jpg ['1.7558236680', '11.6638317600', '0.0828414300', '4.7717392040', '0.1005705590', '-2.3715274500', '5.4939134820', '-2.3390510240'] 0.26863508044444445
train\15\Im_B14\76.jpg ['2.1567810380', '11.6568662500', '0.0853507370', '4.8059398130', '0.0980714290', '-2.3047247270', '4.9249767530', '-2.2437716320'] 0.32372014955555556
train\15\Im_B14\77.jpg ['2.5136395630', '11.6499046900', '0.0893245420', '4.8301029470', '0.0954367940', '-2.2400773880', '4.3579423360', '-2.1356037430'] 0.3401998932222222
train\15\Im_B14\78.jpg ['2.8830099240', '11.6429557400', '0.0943913000', '4.8467061260', '0.0926776560', '-2.1778607170', '3.8524003790', '-2.0431182620'] 0.34035248344444446
train\15\Im_B14\79.jpg ['3.3036448590', '11.6360154400', '0.0996189700', '4.8607559950', '0.0897767860', '-2.1183992300', '3.5432081590', '-2.0491675020'] 0.35927367055555554
train\15\Im_B14\80.jpg ['3.7020892810', '11.6290700900', '0.1037327610', '4.8790642910', '0.0867826730', '-2.0618379300', '3.2232224280', '-2.0524769250'] 0.3897917143333333
train\15\Im_B14\81.jpg ['4.0152784660', '11.6221193200', '0.0946999610', '4.9733645610', '0.0838031120', '-2.0082458250', '2.8936745720', '-2.0537281080'] 0.40337224388888887
train\15\Im_B14\82.jpg ['4.2711597890', '11.6151735900', '0.0908124180', '5.0324836500', '0.0809260310', '-1.9577685590', '2.5556507650', '-2.0532816430'] 0.4230563821111111
train\15\Im_B14\83.jpg ['4.5151219820', '11.6082338500', '0.0878590420', '5.0824773150', '0.0782032670', '-1.9105842000', '2.2101604320', '-2.0515053440'] 0.4264133668888889
train\15\Im_B14\84.jpg ['4.7468476030', '11.6012980600', '0.0859486420', '5.1231665400', '0.0756897790', '-1.8667972840', '1.8581128210', '-2.0487573030'] 0.4264133668888889
train\15\Im_B14\85.jpg ['4.9657188250', '11.5943610700', '0.0850688370', '5.1551290710', '0.0734415510', '-1.8264696220', '1.5002959060', '-2.0455005260'] 0.4264133668888889
train\15\Im_B14\86.jpg ['5.1428842790', '11.5874174200', '0.0850359410', '5.1801130400', '0.0715385630', '-1.7895507880', '1.1373528730', '-2.0421639630'] 0.4282444495555555
train\16\Im_B15\1.jpg ['-0.9950520860', '11.7568565700', '0.0492440630', '2.9788006400', '0.0318153000', '-3.9325347880', '49.8566157500', '-3.5638094670'] -0.07316700999999999
train\16\Im_B15\2.jpg ['-0.9815664910', '11.7501650500', '0.0507623630', '3.0021973650', '0.0320165260', '-3.9025386960', '49.2664596100', '-3.6061009540'] -0.07286182955555555
train\16\Im_B15\3.jpg ['-0.9683715810', '11.7434754700', '0.0520969950', '3.0268388040', '0.0322283830', '-3.8723155640', '48.6766610700', '-3.6471066530'] -0.07209887846666667
train\16\Im_B15\4.jpg ['-0.9526223580', '11.7367879300', '0.0532087160', '3.0528846410', '0.0324620180', '-3.8419817230', '48.0872212100', '-3.6868605620'] -0.07133592736666666
train\16\Im_B15\5.jpg ['-0.9373186700', '11.7301025300', '0.0540770360', '3.0804290290', '0.0327293370', '-3.8116266410', '47.4981371600', '-3.7254482110'] -0.07026779583333333
train\16\Im_B15\6.jpg ['-0.9236148650', '11.7234192600', '0.0550058970', '3.1068368710', '0.0332192370', '-3.7833385660', '46.9094063400', '-3.7629440890'] -0.0701152056111111
train\16\Im_B15\7.jpg ['-0.9113308190', '11.7167380800', '0.0554438310', '3.1372428580', '0.0335734190', '-3.7529244320', '46.3210273500', '-3.7994016530'] -0.0701152056111111
train\16\Im_B15\8.jpg ['-0.9000454410', '11.7100590200', '0.0556405360', '3.1691409990', '0.0339866770', '-3.7226486030', '45.7329942400', '-3.8349302440'] -0.06645304035555556
train\16\Im_B15\9.jpg ['-0.8911018340', '11.7033821000', '0.0556146650', '3.2024498910', '0.0344652290', '-3.6925318790', '45.1453058700', '-3.8695694340'] -0.04280155642222223
train\16\Im_B15\10.jpg ['-0.8829454320', '11.6967071000', '0.0553870890', '3.2370660380', '0.0350124440', '-3.6625860670', '44.5580288500', '-3.9025092450'] -0.023575188833333337
train\16\Im_B15\11.jpg ['-0.8553319840', '11.6900328100', '0.0549631140', '3.2728258050', '0.0356126250', '-3.6328538530', '43.9713758700', '-3.9312162970'] -0.022354467077777777
train\16\Im_B15\12.jpg ['-0.7657999900', '11.6833593800', '0.0543123540', '3.3094604940', '0.0362117100', '-3.6034498520', '43.3855415200', '-3.9535648850'] -0.020523384455555557
train\16\Im_B15\13.jpg ['-0.6217144630', '11.6766887100', '0.0523380160', '3.3517035250', '0.0358823520', '-3.5679173680', '42.8005418800', '-3.9696573840'] -0.0040436408
train\16\Im_B15\14.jpg ['-0.4759399910', '11.6700212100', '0.0532866060', '3.3796012120', '0.0359200840', '-3.5359408940', '42.2163138800', '-3.9804600620'] 0.0160982681
train\16\Im_B15\15.jpg ['-0.3503012480', '11.6633561000', '0.0543167270', '3.4065419560', '0.0358216050', '-3.5036254980', '41.6328771700', '-3.9859000870'] 0.021286335544444444
train\16\Im_B15\16.jpg ['-0.2196610130', '11.6566931100', '0.0553257610', '3.4329214180', '0.0355945860', '-3.4711758800', '41.0502988200', '-3.9853632100'] 0.021286335544444444
train\16\Im_B15\17.jpg ['-0.0700496270', '11.6500326600', '0.0561994660', '3.4591174960', '0.0352351300', '-3.4388083250', '40.4685479200', '-3.9793530680'] 0.021286335544444444
train\16\Im_B15\18.jpg ['0.0703241380', '11.6433746700', '0.0568605140', '3.4855247030', '0.0347645650', '-3.4066714530', '39.8875022800', '-3.9693405080'] 0.021286335544444444
train\16\Im_B15\19.jpg ['0.1756081160', '11.6367187300', '0.0572748580', '3.5124759980', '0.0342271030', '-3.3748779950', '39.3070198600', '-3.9569417300'] 0.02311741817777778
train\16\Im_B15\20.jpg ['0.2402558700', '11.6300647200', '0.0574373680', '3.5401876310', '0.0336717350', '-3.3435322180', '38.7269872300', '-3.9434043090'] 0.03349355306666667
train\16\Im_B15\21.jpg ['0.2723701850', '11.6234127200', '0.0573583750', '3.5687547720', '0.0331399570', '-3.3127350130', '38.1473617300', '-3.9291813730'] 0.040512703133333335
train\16\Im_B15\22.jpg ['0.2924321010', '11.6167629600', '0.0569436760', '3.6013077570', '0.0326545880', '-3.2825963960', '37.5681959500', '-3.9137119310'] 0.040512703133333335
train\16\Im_B15\23.jpg ['0.3284378380', '11.6101155900', '0.0560899510', '3.6336225060', '0.0322128630', '-3.2532449740', '36.9895483000', '-3.8964100850'] 0.040512703133333335
train\16\Im_B15\24.jpg ['0.3821011140', '11.6034703600', '0.0550034540', '3.6664845640', '0.0318092630', '-3.2247741700', '36.4114143400', '-3.8773676420'] 0.040512703133333335
train\16\Im_B15\25.jpg ['0.4349566740', '11.5968269600', '0.0537099770', '3.6997638850', '0.0311754530', '-3.1932577590', '35.8337504400', '-3.8570680080'] 0.040512703133333335
train\16\Im_B15\26.jpg ['0.4754709750', '11.5901853300', '0.0522468220', '3.7333328500', '0.0308256050', '-3.1660139200', '35.2565033400', '-3.8360702920'] 0.040512703133333335
train\16\Im_B15\27.jpg ['0.5005704050', '11.5835455700', '0.0506538540', '3.7670634300', '0.0305629260', '-3.1397718670', '34.6796274000', '-3.8148368400'] 0.040512703133333335
train\16\Im_B15\28.jpg ['0.5122415260', '11.5769078000', '0.0489685640', '3.8008268570', '0.0304027600', '-3.1145195210', '34.1030921500', '-3.7936663430'] 0.040512703133333335
train\16\Im_B15\29.jpg ['0.5147835530', '11.5702720800', '0.0444473040', '3.8479703480', '0.0303547920', '-3.0902270010', '33.5268825900', '-3.7726999090'] 0.040665293355555555
train\16\Im_B15\30.jpg ['0.5126963410', '11.5636384200', '0.0444882880', '3.8724908130', '0.0449143380', '-3.1391722410', '32.9509955400', '-3.7519629370'] 0.0434119173
train\16\Im_B15\31.jpg ['0.5094954930', '11.5570068200', '0.0447651040', '3.8956151470', '0.0448297630', '-3.1135825390', '32.3754401300', '-3.7313628220'] 0.04600595102222222
train\16\Im_B15\32.jpg ['0.5089850730', '11.5503773400', '0.0451959690', '3.9178227820', '0.0448656740', '-3.0887302070', '31.8002444600', '-3.7106279740'] 0.04600595102222222
train\16\Im_B15\33.jpg ['0.5171730290', '11.5437500400', '0.0456796200', '3.9396406460', '0.0449638020', '-3.0643570600', '31.2254351200', '-3.6895123300'] 0.04600595102222222
train\16\Im_B15\34.jpg ['0.5336903230', '11.5371247700', '0.0461126620', '3.9615874070', '0.0450669530', '-3.0402165430', '30.6510148000', '-3.6680029380'] 0.04600595102222222
train\16\Im_B15\35.jpg ['0.5511283520', '11.5305014200', '0.0464101250', '3.9841029240', '0.0451299100', '-3.0160879820', '30.0769708900', '-3.6462254400'] 0.05424582284444445
train\16\Im_B15\36.jpg ['0.5647107200', '11.5238799900', '0.0465154640', '4.0074742840', '0.0451210640', '-2.9918043420', '29.5033020300', '-3.6241933660'] 0.07545586327777778
train\16\Im_B15\37.jpg ['0.5780021470', '11.5172608600', '0.0463998530', '4.0317942280', '0.0450177080', '-2.9672759750', '28.9300855200', '-3.6011971350'] 0.10276951247777778
train\16\Im_B15\38.jpg ['0.6165651100', '11.5106449000', '0.0435265080', '4.0767183800', '0.0447410300', '-2.9423731970', '28.3575132500', '-3.5755206760'] 0.12657358666666668
train\16\Im_B15\39.jpg ['0.7182972400', '11.5040332200', '0.0435190220', '4.1012438040', '0.0446370520', '-2.9187299960', '27.7858246500', '-3.5450869030'] 0.129625391
train\16\Im_B15\40.jpg ['0.9004872060', '11.4974264100', '0.0435807770', '4.1236890720', '0.0444055200', '-2.8955753740', '27.2151650100', '-3.5087068500'] 0.129625391
train\16\Im_B15\41.jpg ['1.1349532610', '11.4908223200', '0.0435732920', '4.1444562030', '0.0439861670', '-2.8729488540', '26.6454637600', '-3.4670869100'] 0.129625391
train\16\Im_B15\42.jpg ['1.3523667350', '11.4842179800', '0.0434255160', '4.1640382680', '0.0441508430', '-2.8498264410', '26.0765226300', '-3.4219801350'] 0.129625391
train\16\Im_B15\43.jpg ['1.5102031590', '11.4776129100', '0.0431203470', '4.1828797610', '0.0431714720', '-2.8256699020', '25.5081292900', '-3.3752008930'] 0.129625391
train\16\Im_B15\44.jpg ['1.6013217880', '11.4710082800', '0.0426674930', '4.2013137970', '0.0420540620', '-2.8020382850', '24.9401194400', '-3.3281210530'] 0.129625391
train\16\Im_B15\45.jpg ['1.6389143040', '11.4644052400', '0.0420840410', '4.2195622930', '0.0408364650', '-2.7788820330', '24.3723950600', '-3.2815419270'] 0.129625391
train\16\Im_B15\46.jpg ['1.6432617460', '11.4578043600', '0.0414808260', '4.2372493980', '0.0395506990', '-2.7562029640', '23.8049156800', '-3.2357847740'] 0.129625391
train\16\Im_B15\47.jpg ['1.6329797010', '11.4512057000', '0.0414248520', '4.2516816160', '0.0384309260', '-2.7349243800', '23.2376781100', '-3.1908678650'] 0.129625391
train\16\Im_B15\48.jpg ['1.6207272390', '11.4446090800', '0.0415950160', '4.2646310090', '0.0375618920', '-2.7153186590', '22.6706959700', '-3.1466770830'] 0.129625391
train\16\Im_B15\49.jpg ['1.6125732040', '11.4380143100', '0.0419503560', '4.2764277920', '0.0368427630', '-2.6969284630', '22.1039851100', '-3.1030827780'] 0.129625391
train\16\Im_B15\50.jpg ['1.6095921450', '11.4314213200', '0.0424232930', '4.2875278220', '0.0362766990', '-2.6797191050', '21.5375564800', '-3.0599945750'] 0.129625391
train\16\Im_B15\51.jpg ['1.6102053580', '11.4248301300', '0.0429217430', '4.2984918680', '0.0358648050', '-2.6636334030', '20.9714147900', '-3.0173693350'] 0.129625391
train\16\Im_B15\52.jpg ['1.6121933450', '11.4182408200', '0.0433344010', '4.3099384060', '0.0356051940', '-2.6485864720', '20.4055603500', '-2.9751950210'] 0.129625391
train\16\Im_B15\53.jpg ['1.6138893250', '11.4116534800', '0.0435413390', '4.3224670490', '0.0354905290', '-2.6344591010', '19.8399917400', '-2.9334695610'] 0.129625391
train\16\Im_B15\54.jpg ['1.6145560170', '11.4050681800', '0.0391916530', '4.3651926170', '0.0355048160', '-2.6210917050', '19.2747078300', '-2.8921855210'] 0.129625391
train\16\Im_B15\55.jpg ['1.6142205090', '11.3984849200', '0.0369936080', '4.3926828740', '0.0356281140', '-2.6083040930', '18.7097087200', '-2.8513234950'] 0.129625391
train\16\Im_B15\56.jpg ['1.6132969140', '11.3919037100', '0.0351630290', '4.4172100040', '0.0358026980', '-2.5958097780', '18.1449957800', '-2.8108522650'] 0.129625391
train\16\Im_B15\57.jpg ['1.6122419620', '11.3853245200', '0.0335686280', '4.4394828410', '0.0359828020', '-2.5833637770', '17.5805711500', '-2.7707320980'] 0.129625391
train\16\Im_B15\58.jpg ['1.6113578030', '11.3787473300', '0.0322519370', '4.4593274490', '0.0361032410', '-2.5706962930', '17.0164372700', '-2.7309181290'] 0.129625391
train\16\Im_B15\59.jpg ['1.6107466730', '11.3721721200', '0.0312578240', '4.4765694550', '0.0360951960', '-2.5575734400', '16.4525965100', '-2.6913622230'] 0.12932021055555554
train\16\Im_B15\60.jpg ['1.6103630170', '11.3655988900', '0.0306342780', '4.4910405600', '0.0326981140', '-2.5263484020', '15.8890506300', '-2.6520160870'] 0.12504768444444445
train\16\Im_B15\61.jpg ['1.6099153140', '11.3590276100', '0.0304306850', '4.5025953320', '0.0312064950', '-2.5058049550', '15.3257946700', '-2.6128751450'] 0.1129930571111111
train\16\Im_B15\62.jpg ['1.6063011850', '11.3524578100', '0.0306955420', '4.5111487970', '0.0298632360', '-2.4866282730', '14.7627958300', '-2.5741269240'] 0.08293278401111111
train\16\Im_B15\63.jpg ['1.5864246680', '11.3458884200', '0.0314899930', '4.5166976470', '0.0287008580', '-2.4688141990', '14.1999604500', '-2.5363677200'] 0.05424582284444445
train\16\Im_B15\64.jpg ['1.5208428810', '11.3393174900', '0.0328430720', '4.5195729770', '0.0277881050', '-2.4523197400', '13.6371168900', '-2.5006822930'] 0.041733424888888884
train\16\Im_B15\65.jpg ['1.3699759590', '11.3327457700', '0.0348169380', '4.5203097770', '0.0272027260', '-2.4369376640', '13.0741174600', '-2.4678891870'] 0.03227283131111111
train\16\Im_B15\66.jpg ['1.1412200540', '11.3261770800', '0.0373912390', '4.5197938310', '0.0270452550', '-2.4225431190', '12.5109373900', '-2.4379014110'] 0.01594567787777778
train\16\Im_B15\67.jpg ['0.8901756530', '11.3196130700', '0.0404010260', '4.5192772420', '0.0273567530', '-2.4090470580', '11.9476374600', '-2.4100650170'] 0.005111772333333334
train\16\Im_B15\68.jpg ['0.6566096870', '11.3130527700', '0.0435359130', '4.5204456140', '0.0281401560', '-2.3963511320', '11.3842912200', '-2.3836696580'] 0.0002288853333333333
train\16\Im_B15\69.jpg ['0.4468624450', '11.3064954500', '0.0463943340', '4.5252552890', '0.0293864140', '-2.3842930710', '10.8209872600', '-2.3579223410'] -0.0022125581777777776
train\16\Im_B15\70.jpg ['0.2695090400', '11.2999409500', '0.0298449430', '4.6425814420', '0.0310694520', '-2.3726812750', '10.2578327100', '-2.3319321660'] -0.003128099488888889
train\16\Im_B15\71.jpg ['0.1346381140', '11.2933889900', '0.0270914450', '4.6847972980', '0.0331399480', '-2.3612901560', '9.6949362540', '-2.3048189530'] -0.003128099488888889
